,player_name,age,pos,mp,pts,ast,trb,stl,blk,fg_pct,3p_pct,ft_pct,tov,fga,3pa,2pa,fta,orb,drb,per,bpm,vorp,usg
16,Zach LaVine,29,SF,1432,25.3,4.8,5.1,1,0.3,0.511,0.446,0.797,3,17.8,7.7,10.2,4.6,0.3,4.8,18.4,1.6,1.3,26.6
17,Zach LaVine,29,SG,1170,22.1,3.7,3.5,0.6,0.1,0.511,0.446,0.874,2.7,15.8,7.1,8.7,3.2,0.3,3.2,15.9,-0.4,0.5,23.7
18,Shai Gilgeous-Alexander,26,PG,2598,34.4,6.7,5.3,1.8,1.1,0.519,0.375,0.898,2.5,22.9,6,16.9,9.3,0.9,4.3,30.7,11.5,8.9,34.8
19,Michael Porter Jr.,26,SF,2593,19.4,2.3,7.5,0.7,0.5,0.504,0.395,0.768,1.4,14.5,6.8,7.8,2.7,1.9,5.6,16.2,-0.1,1.2,20.2
20,Derrick White,30,SG,2574,17.5,5,4.8,1,1.1,0.442,0.384,0.839,1.8,13.4,9.7,3.7,2.3,0.9,3.8,16.6,3.5,3.6,19.8
21,Dyson Daniels,21,SG,2571,15,4.7,6.3,3.2,0.8,0.493,0.34,0.593,2.2,12.9,3.3,9.6,2,1.7,4.6,15.6,1.5,2.3,18.2
22,Nikola Jokié?,29,C,2571,29,10,12.5,1.8,0.6,0.576,0.417,0.8,3.2,19.1,4.6,14.5,6.3,2.8,9.7,32,13.3,9.8,29.5
23,Austin Reaves,26,SG,2550,20.8,5.9,4.6,1.1,0.3,0.46,0.377,0.877,2.5,14.6,7.5,7.1,5.2,0.9,3.8,18.1,1.9,2.6,23.7
24,Toumani Camara,24,PF,2548,12.5,2.5,6.4,1.6,0.7,0.458,0.375,0.722,1.5,10.1,5.1,5,1.8,2.4,3.9,12.5,-0.1,1.2,14.4
25,Pascal Siakam,30,PF,2548,22.3,3.7,7.6,1,0.6,0.519,0.389,0.734,1.5,16.7,4.6,12.1,4.4,1.9,5.8,19.2,1.7,2.4,24.2
26,Brook Lopez,36,C,2546,14.7,2,5.7,0.7,2.1,0.509,0.373,0.826,1.2,10.9,5.3,5.7,2,1.6,4.1,14.8,0.8,1.8,15.8
27,Karl-Anthony Towns,29,C,2517,25.2,3.2,13.2,1,0.7,0.526,0.42,0.829,2.7,17.4,4.8,12.5,5.8,3,10.1,23.4,3.6,3.5,27.4
28,Bub Carrington,19,PG,2458,11.8,5.3,5,0.8,0.3,0.401,0.339,0.812,2.1,11,6,5,1.2,0.5,4.5,9,-4.6,-1.6,15.8
29,Cade Cunningham,23,PG,2452,26.9,9.4,6.2,1,0.8,0.469,0.356,0.846,4.5,21.4,6.1,15.3,5.4,0.8,5.4,20.6,3.9,3.7,33.2
30,Tyrese Haliburton,24,PG,2451,20,9.9,3.8,1.5,0.7,0.473,0.388,0.851,1.8,14.8,8.3,6.5,3.3,0.6,3.2,21.8,5.8,4.9,21.6
31,Coby White,24,SG,2450,22.2,4.8,4,1,0.2,0.453,0.37,0.902,2.6,16.5,8.6,7.9,4.5,0.4,3.6,15.5,-0.9,0.7,24.4
32,LeBron James,40,SF,2444,25.2,8.5,8,1,0.6,0.513,0.376,0.782,3.8,18.7,5.8,12.9,4.9,1.1,7,22.7,5.6,4.7,30.1
33,Domantas Sabonis,28,C,2429,19.8,6.3,14.4,0.7,0.4,0.59,0.417,0.754,3,13.2,2.3,10.9,4.3,4,10.4,22.9,5.2,4.4,21.6
34,Jamal Murray,27,PG,2418,21.4,6,3.9,1.4,0.5,0.474,0.393,0.886,2.1,16.7,5.9,10.8,3.7,0.7,3.2,17.8,0.8,1.7,24
35,Alperen è?eng?¨n,22,C,2395,21.8,5.6,11.8,1.3,0.9,0.496,0.233,0.692,2.9,17.2,1.4,15.8,6.4,3.9,7.9,21.4,4.4,3.9,26.2
36,Dillon Brooks,29,SF,2388,15.9,1.9,4.1,0.9,0.2,0.429,0.397,0.818,1.1,13.5,7.1,6.4,1.8,1.1,3,11,-1.4,0.4,17.7
37,Tobias Harris,32,PF,2305,15.6,2.5,6.7,1.2,0.9,0.477,0.345,0.861,1.3,12.6,4.1,8.4,2.6,1,5.7,13.9,0.1,1.2,17.6
38,Darius Garland,25,PG,2301,24.2,7.9,3.3,1.4,0.2,0.472,0.401,0.878,3,18.4,8.3,10.1,4,0.7,2.6,19.9,3.1,3,27.2
39,Jalen Brunson,28,PG,2301,26.4,7.4,2.9,0.9,0.1,0.488,0.383,0.821,2.6,18.8,6.2,12.6,7,0.4,2.5,21.6,3.3,3.1,29.5
40,Jarrett Allen,26,C,2296,17.3,2.5,12.5,1.2,1.1,0.706,0,0.718,1.5,10,0.1,10,4.3,3.4,9.1,22.1,4.2,3.6,15.9
41,Chris Paul,39,PG,2292,11.4,9.5,4.6,1.6,0.3,0.427,0.377,0.924,2,9.2,5.8,3.3,1.4,0.5,4.1,14.7,0.8,1.6,14
42,Anfernee Simons,25,SG,2292,21.2,5.3,3,0.9,0.1,0.426,0.363,0.902,2.2,17.7,9.3,8.4,3,0.4,2.6,14.9,-0.1,1.1,24.6
43,Giannis Antetokounmpo,30,PF,2289,32,6.8,12.6,0.9,1.2,0.601,0.222,0.617,3.2,20.7,1,19.8,11.1,2.3,10.2,30.5,9.5,6.6,35.2
44,Malik Beasley,28,SG,2283,21.1,2.2,3.4,1.2,0.1,0.43,0.416,0.679,1.3,16.9,12.1,4.8,2.2,0.7,2.6,14.4,0.8,1.6,22.5
45,Kentavious Caldwell-Pope,31,SG,2279,10.6,2.1,2.7,1.6,0.5,0.439,0.342,0.863,1,8.6,5.2,3.4,1.5,0.5,2.1,9.9,-1.4,0.3,12.4
46,Nikola Vuéçevié?,34,C,2278,21.3,4,11.6,1,0.8,0.53,0.402,0.805,1.9,16.4,5.1,11.3,2.4,2.8,8.8,20.3,2.6,2.7,22.4
47,Payton Pritchard,27,PG,2271,18.1,4.4,4.9,1.1,0.2,0.472,0.407,0.845,1.3,13.7,9.9,3.8,1.3,1.6,3.2,17.6,3.5,3.2,19
48,Kevin Durant,36,PF,2265,26.2,4.2,5.9,0.8,1.2,0.527,0.43,0.839,3,17.9,5.9,12,5.7,0.4,5.6,21.2,3.2,3,28.7
49,Shaedon Sharpe,21,SG,2252,21.3,3.2,5.2,1,0.3,0.452,0.311,0.785,2.4,17.6,7.5,10.1,3.9,1.1,4.1,14.5,-1.3,0.4,25.1
50,Stephen Curry,36,PG,2252,27.5,6.7,5,1.3,0.5,0.448,0.397,0.933,3.2,20.1,12.5,7.6,4.8,0.6,4.3,21.5,6.3,4.8,29.8
